# redshift, dNdz, bias
1.469999999999999918e-01 8.219505655767978851e+02 1.500000000000000000e+00
1.479999999999999927e-01 8.307261357189340742e+02 1.500000000000000000e+00
1.489999999999999936e-01 8.395187387682493636e+02 1.500000000000000000e+00
1.499999999999999944e-01 8.483279771547964856e+02 1.500000000000000000e+00
1.509999999999999953e-01 8.571534561472732321e+02 1.500000000000000000e+00
1.519999999999999962e-01 8.659947838378708411e+02 1.500000000000000000e+00
1.529999999999999971e-01 8.748515711271935515e+02 1.500000000000000000e+00
1.539999999999999980e-01 8.837234317092471656e+02 1.500000000000000000e+00
1.549999999999999989e-01 8.926099820564974152e+02 1.500000000000000000e+00
1.559999999999999998e-01 9.015108414049993826e+02 1.500000000000000000e+00
1.570000000000000007e-01 9.104256317395910401e+02 1.500000000000000000e+00
1.580000000000000016e-01 9.193539777791614824e+02 1.500000000000000000e+00
1.590000000000000024e-01 9.282955069619835058e+02 1.500000000000000000e+00
1.600000000000000033e-01 9.372498494311145123e+02 1.500000000000000000e+00
1.610000000000000042e-01 9.462166380198661955e+02 1.500000000000000000e+00
1.620000000000000051e-01 9.551955082373423238e+02 1.500000000000000000e+00
1.630000000000000060e-01 9.641860982540415534e+02 1.500000000000000000e+00
1.640000000000000069e-01 9.731880488875293622e+02 1.500000000000000000e+00
1.650000000000000078e-01 9.822010035881744443e+02 1.500000000000000000e+00
1.660000000000000087e-01 9.912246084249537716e+02 1.500000000000000000e+00
1.670000000000000095e-01 1.000258512071321888e+03 1.500000000000000000e+00
1.680000000000000104e-01 1.009302365791146030e+03 1.500000000000000000e+00
1.690000000000000113e-01 1.018355823424707751e+03 1.500000000000000000e+00
1.700000000000000122e-01 1.027418541374770257e+03 1.500000000000000000e+00
1.710000000000000131e-01 1.036490178592707025e+03 1.500000000000000000e+00
1.720000000000000140e-01 1.045570396564701241e+03 1.500000000000000000e+00
1.730000000000000149e-01 1.054658859298002426e+03 1.500000000000000000e+00
1.740000000000000158e-01 1.063755233307253320e+03 1.500000000000000000e+00
1.750000000000000167e-01 1.072859187600877021e+03 1.500000000000000000e+00
1.759999999999999898e-01 1.081970393667528924e+03 1.500000000000000000e+00
1.769999999999999907e-01 1.091088525462612324e+03 1.500000000000000000e+00
1.779999999999999916e-01 1.100213259394855186e+03 1.500000000000000000e+00
1.789999999999999925e-01 1.109344274312950802e+03 1.500000000000000000e+00
1.799999999999999933e-01 1.118481251492263709e+03 1.500000000000000000e+00
1.809999999999999942e-01 1.127623874621591767e+03 1.500000000000000000e+00
1.819999999999999951e-01 1.136771829789995081e+03 1.500000000000000000e+00
1.829999999999999960e-01 1.145924805473684955e+03 1.500000000000000000e+00
1.839999999999999969e-01 1.155082492522974690e+03 1.500000000000000000e+00
1.849999999999999978e-01 1.164244584149290176e+03 1.500000000000000000e+00
1.859999999999999987e-01 1.173410775912243025e+03 1.500000000000000000e+00
1.869999999999999996e-01 1.182580765706764623e+03 1.500000000000000000e+00
1.880000000000000004e-01 1.191754253750297266e+03 1.500000000000000000e+00
1.890000000000000013e-01 1.200930942570050320e+03 1.500000000000000000e+00
1.900000000000000022e-01 1.210110536990311402e+03 1.500000000000000000e+00
1.910000000000000031e-01 1.219292744119820782e+03 1.500000000000000000e+00
1.920000000000000040e-01 1.228477273339204203e+03 1.500000000000000000e+00
1.930000000000000049e-01 1.237663836288461880e+03 1.500000000000000000e+00
1.940000000000000058e-01 1.246852146854523198e+03 1.500000000000000000e+00
1.950000000000000067e-01 1.256041921158849846e+03 1.500000000000000000e+00
1.960000000000000075e-01 1.265232877545108295e+03 1.500000000000000000e+00
1.970000000000000084e-01 1.274424736566891397e+03 1.500000000000000000e+00
1.980000000000000093e-01 1.283617220975503869e+03 1.500000000000000000e+00
1.990000000000000102e-01 1.292810055707801212e+03 1.500000000000000000e+00
2.000000000000000111e-01 1.302002967874089563e+03 1.500000000000000000e+00
2.010000000000000120e-01 1.311195686746079673e+03 1.500000000000000000e+00
2.020000000000000129e-01 1.320387943744897484e+03 1.500000000000000000e+00
2.030000000000000138e-01 1.329579472429155885e+03 1.500000000000000000e+00
2.040000000000000147e-01 1.338770008483076936e+03 1.500000000000000000e+00
2.050000000000000155e-01 1.347959289704675257e+03 1.500000000000000000e+00
2.060000000000000164e-01 1.357147055993990534e+03 1.500000000000000000e+00
2.070000000000000173e-01 1.366333049341386413e+03 1.500000000000000000e+00
2.080000000000000182e-01 1.375517013815893733e+03 1.500000000000000000e+00
2.089999999999999913e-01 1.384698695553613561e+03 1.500000000000000000e+00
2.099999999999999922e-01 1.393877842746179113e+03 1.500000000000000000e+00
2.109999999999999931e-01 1.403054205629263379e+03 1.500000000000000000e+00
2.119999999999999940e-01 1.412227536471149506e+03 1.500000000000000000e+00
2.129999999999999949e-01 1.421397589561352561e+03 1.500000000000000000e+00
2.139999999999999958e-01 1.430564121199291549e+03 1.500000000000000000e+00
2.149999999999999967e-01 1.439726889683021000e+03 1.500000000000000000e+00
2.159999999999999976e-01 1.448885655298013944e+03 1.500000000000000000e+00
2.169999999999999984e-01 1.458040180305996046e+03 1.500000000000000000e+00
2.179999999999999993e-01 1.467190228933834987e+03 1.500000000000000000e+00
2.190000000000000002e-01 1.476335567362483062e+03 1.500000000000000000e+00
2.200000000000000011e-01 1.485475963715969556e+03 1.500000000000000000e+00
2.210000000000000020e-01 1.494611188050450210e+03 1.500000000000000000e+00
2.220000000000000029e-01 1.503741012343303510e+03 1.500000000000000000e+00
2.230000000000000038e-01 1.512865210482282919e+03 1.500000000000000000e+00
2.240000000000000047e-01 1.521983558254718673e+03 1.500000000000000000e+00
2.250000000000000056e-01 1.531095833336771648e+03 1.500000000000000000e+00
2.260000000000000064e-01 1.540201815282738153e+03 1.500000000000000000e+00
2.270000000000000073e-01 1.549301285514407255e+03 1.500000000000000000e+00
2.280000000000000082e-01 1.558394027310467436e+03 1.500000000000000000e+00
2.290000000000000091e-01 1.567479825795962370e+03 1.500000000000000000e+00
2.300000000000000100e-01 1.576558467931802397e+03 1.500000000000000000e+00
2.310000000000000109e-01 1.585629742504317846e+03 1.500000000000000000e+00
2.320000000000000118e-01 1.594693440114871919e+03 1.500000000000000000e+00
2.330000000000000127e-01 1.603749353169514279e+03 1.500000000000000000e+00
2.340000000000000135e-01 1.612797275868691713e+03 1.500000000000000000e+00
2.350000000000000144e-01 1.621837004197001306e+03 1.500000000000000000e+00
2.360000000000000153e-01 1.630868335912999555e+03 1.500000000000000000e+00
2.370000000000000162e-01 1.639891070539053317e+03 1.500000000000000000e+00
2.380000000000000171e-01 1.648905009351245781e+03 1.500000000000000000e+00
2.390000000000000180e-01 1.657909955369325871e+03 1.500000000000000000e+00
2.399999999999999911e-01 1.666905713346709035e+03 1.500000000000000000e+00
2.409999999999999920e-01 1.675892089760524868e+03 1.500000000000000000e+00
2.419999999999999929e-01 1.684868892801713173e+03 1.500000000000000000e+00
2.429999999999999938e-01 1.693835932365164808e+03 1.500000000000000000e+00
2.439999999999999947e-01 1.702793020039915291e+03 1.500000000000000000e+00
2.449999999999999956e-01 1.711739969099381597e+03 1.500000000000000000e+00
2.459999999999999964e-01 1.720676594491644892e+03 1.500000000000000000e+00
2.469999999999999973e-01 1.729602712829785332e+03 1.500000000000000000e+00
2.479999999999999982e-01 1.738518142382257111e+03 1.500000000000000000e+00
2.489999999999999991e-01 1.747422703063315112e+03 1.500000000000000000e+00
2.500000000000000000e-01 1.756316216423483638e+03 1.500000000000000000e+00
2.510000000000000009e-01 1.765198505640074700e+03 1.500000000000000000e+00
2.520000000000000018e-01 1.774069395507750414e+03 1.500000000000000000e+00
2.530000000000000027e-01 1.782928712429128382e+03 1.500000000000000000e+00
2.540000000000000036e-01 1.791776284405437991e+03 1.500000000000000000e+00
2.550000000000000044e-01 1.800611941027217654e+03 1.500000000000000000e+00
2.560000000000000053e-01 1.809435513465057738e+03 1.500000000000000000e+00
2.570000000000000062e-01 1.818246834460390119e+03 1.500000000000000000e+00
