# k power
7.778411071286489781e-04 1.480733479203003844e+04
7.868571506936851423e-04 1.496493655551064694e+04
7.959777002314985571e-04 1.512409102591948431e+04
8.052039670825478267e-04 1.528481009544722110e+04
8.145371766280745229e-04 1.544710568063033134e+04
8.239785684528520143e-04 1.561098972097896331e+04
8.335293965098195066e-04 1.577647417757056064e+04
8.431909292866259040e-04 1.594357103161435043e+04
8.529644499741025759e-04 1.611229228298110866e+04
8.628512566366895297e-04 1.628264994870427836e+04
8.728526623848379762e-04 1.645465606144593039e+04
8.829699955494092365e-04 1.662832266793197414e+04
8.932045998580968784e-04 1.680366182735315670e+04
9.035578346138930074e-04 1.698068560973524654e+04
9.140310748756232161e-04 1.715940609426829542e+04
9.246257116405742597e-04 1.733983536762354925e+04
9.353431520292386373e-04 1.752198552218827172e+04
9.461848194722001460e-04 1.770586865432895866e+04
9.571521538991865398e-04 1.789149686272270992e+04
9.682466119303123836e-04 1.807888224555143825e+04
9.794696670695395360e-04 1.826803690254668618e+04
9.908228099003797609e-04 1.845897292124697196e+04
1.002307548283865382e-03 1.865170240118453148e+04
1.013925407558815411e-03 1.884623732018980445e+04
1.025677930744421868e-03 1.904258900962064945e+04
1.037566678745185890e-03 1.924076850409729013e+04
1.049593230558227598e-03 1.944078676276996339e+04
1.061759183483000071e-03 1.964265469800876963e+04
1.074066153333433447e-03 1.984638315478769800e+04
1.086515774652538433e-03 2.005198291419760426e+04
1.099109700929497193e-03 2.025946468824623662e+04
1.111849604819271095e-03 2.046883911694869676e+04
1.124737178364752007e-03 2.068011676497697044e+04
1.137774133221491381e-03 2.089330811822037867e+04
1.150962200885032299e-03 2.110842358036691076e+04
1.164303132920876775e-03 2.132547346939857380e+04
1.177798701197119331e-03 2.154446801404831058e+04
1.191450698119775895e-03 2.176541735021171553e+04
1.205260936870842505e-03 2.198833151729659949e+04
1.219231251649110712e-03 2.221322045453684768e+04
1.233363497913775872e-03 2.244009399724907053e+04
1.247659552630869806e-03 2.266896187304252453e+04
